year,month,day,no-voie,b/t/q,type-de-voie,voie,code-postal,type-local,surface-terrain,surface-reelle-bati,nombre-pieces-principales
2023,1,5,14,NAN,AV,DU STAND,21000,Appartement,0.0,25.0,1
2023,1,4,136,NAN,AV,VICTOR HUGO,21000,Appartement,0.0,65.0,4
2023,1,6,19,NAN,RUE,DE MARTRAY,21190,Maison,194.0,229.0,6
2023,1,5,3,NAN,RUE,DE MARSANNAY LA COTE,21000,Appartement,0.0,28.0,1
2023,1,5,22,NAN,RUE,DE DIJON,21121,Appartement,0.0,63.0,3
2023,1,6,41,C,RTE,DE VERDUN,21200,Appartement,0.0,44.0,2
2023,1,5,6,NAN,RUE,DU 8 MAI 1945,21250,Maison,334.0,69.0,3
2023,1,6,5,NAN,RUE,CHAUDE,21250,Maison,336.0,98.0,5
2023,1,6,5,NAN,RUE,CHAUDE,21250,Maison,246.0,98.0,5
2023,1,9,3,NAN,RUE,DE LA LIBERTE,21000,Appartement,0.0,41.0,2
2023,1,6,37,NAN,RUE,AUGUSTE COMTE,21000,Appartement,0.0,20.0,1
2023,1,6,7,NAN,PL,GENERAL VIARD,21310,Appartement,0.0,44.0,1
2023,1,4,17,NAN,RUE,LOUISE MICHEL,21000,Appartement,0.0,85.0,4
2023,1,9,5,NAN,RLE,DE LONGVIAU,21600,Maison,0.0,96.0,5
2023,1,3,28,NAN,AV,DES MARRONNIERS,21240,Maison,120.0,167.0,5
2023,1,4,17,NAN,RUE,MARCEAU,21000,Appartement,0.0,26.0,1
2023,1,11,1,NAN,RUE,DE LANTHES,21250,Maison,876.0,90.0,5
2023,1,6,30,NAN,RUE,CARNOT,21440,Maison,322.0,90.0,3
2023,1,4,6,NAN,IMP,DU MUGUET,21850,Appartement,0.0,82.0,3
2023,1,10,3,NAN,RUE,DOC HENRI PINGAT,21000,Maison,364.0,80.0,5
2023,1,10,246,NAN,RUE,DU MIDI,21850,Appartement,0.0,58.0,3
2023,1,6,33,NAN,RUE,DE LA COMBE A LA SERPENT,21000,Maison,500.0,66.0,2
2023,1,6,33,NAN,RUE,DE LA COMBE A LA SERPENT,21000,Maison,1545.0,66.0,2
2023,1,10,3,NAN,RUE,RUE AMONT - CLEMENCEY,21220,Maison,547.0,46.0,3
2023,1,12,10,NAN,RUE,MIGNOIS,21290,Maison,338.0,120.0,3
2023,1,13,22,NAN,RUE,VICTOR DUMAY,21000,Appartement,0.0,54.0,3
2023,1,4,3,NAN,BD,SEVIGNE,21000,Appartement,0.0,55.0,3
2023,1,4,8,NAN,RUE,DU MOULIN DES BATTEURS,21470,Maison,2030.0,240.0,6
2023,1,4,,NAN,NAN,CHALLANGES EST,21200,Appartement,0.0,93.0,3
2023,1,13,8,B,RUE,D HAUTEVILLE,21370,Maison,0.0,103.0,5
2023,1,5,8,B,RUE,PASTEUR,21150,Maison,442.0,106.0,7
2023,1,4,16,NAN,RUE,SAUMAISE,21000,Appartement,0.0,18.0,1
2023,1,5,2,NAN,RUE,NOTRE DAME,21310,Maison,91.0,110.0,3
2023,1,13,28,NAN,RUE,DES PERRIERES,21000,Appartement,0.0,126.0,5
2023,1,6,16,NAN,RUE,BASSE,21580,Maison,1200.0,30.0,2
2023,1,3,45,NAN,BD,THIERS,21000,Appartement,0.0,102.0,5
2023,1,6,6,NAN,RUE,DE L EGLISE,21121,Appartement,75.0,18.0,1
2023,1,6,6,NAN,RUE,DE L EGLISE,21121,Appartement,75.0,25.0,1
2023,1,6,6,NAN,RUE,DE L EGLISE,21121,Appartement,75.0,30.0,1
2023,1,6,6,NAN,RUE,DE L EGLISE,21121,Appartement,0.0,25.0,1
2023,1,5,9,NAN,RUE,DU LAC,21120,Maison,406.0,130.0,6
2023,1,11,15,NAN,NAN,GRANDE RUE,21500,Maison,368.0,86.0,3
2023,1,12,7,NAN,RLE,DES ACACIAS,21250,Maison,371.0,125.0,5
2023,1,11,14,NAN,RUE,DES ACACIAS,21230,Maison,679.0,87.0,4
2023,1,13,18,NAN,ALL,DES GRANDS CHAMPS,21320,Appartement,0.0,69.0,3
2023,1,16,12,NAN,RUE,MARGUERITE DUREUIL(LABORD),21200,Maison,500.0,104.0,5
2023,1,16,12,NAN,RUE,MARGUERITE DUREUIL(LABORD),21200,Maison,780.0,104.0,5
2023,1,13,52,NAN,RUE,ANTOINE MASSON,21130,Appartement,143.0,43.0,2
2023,1,13,52,NAN,RUE,ANTOINE MASSON,21130,Appartement,143.0,46.0,2
2023,1,13,52,NAN,RUE,ANTOINE MASSON,21130,Appartement,143.0,86.0,4
2023,1,10,11,NAN,BD,DES CLOMIERS,21000,Appartement,0.0,78.0,4
2023,1,6,10,NAN,RUE,SAINT MAURICE,21400,Appartement,200.0,12.0,1
2023,1,6,10,NAN,RUE,SAINT MAURICE,21400,Appartement,200.0,12.0,1
2023,1,6,10,NAN,RUE,SAINT MAURICE,21400,Appartement,200.0,20.0,1
2023,1,6,10,NAN,RUE,SAINT MAURICE,21400,Appartement,200.0,22.0,1
2023,1,6,10,NAN,RUE,SAINT MAURICE,21400,Appartement,200.0,99.0,5
2023,1,5,24,NAN,RUE,VIVANT CARION,21000,Appartement,0.0,50.0,3
2023,1,16,39,NAN,RUE,HOCHE,21000,Appartement,0.0,64.0,3
2023,1,6,29,NAN,RUE,BALZAC,21000,Appartement,0.0,70.0,3
2023,1,2,7,NAN,RUE,LAGNY,21000,Appartement,0.0,56.0,3
2023,1,4,31,NAN,RUE,DES PETITES PASSEES,21200,Maison,677.0,72.0,4
2023,1,6,5,B,RUE,DE QUETIGNY,21560,Maison,1060.0,105.0,5
2023,1,5,19,NAN,RUE,DES CHENEVARY,21300,Maison,1120.0,102.0,5
2023,1,11,18,NAN,IMP,DES CASTORS,21160,Maison,342.0,75.0,4
2023,1,6,5,NAN,RUE,MEZZOMERICO,21490,Maison,760.0,175.0,6
2023,1,16,18,NAN,RUE,DES BOIS,21250,Maison,455.0,120.0,7
2023,1,4,3,NAN,RUE,CHARLES DE VERGENNES,21000,Appartement,0.0,53.0,3
2023,1,6,4,NAN,RUE,ALEXANDRE NICOLAS,21000,Appartement,0.0,63.0,3
2023,1,16,29,NAN,NAN,BORDES BRICARD,21440,Maison,789.0,100.0,4
2023,1,13,8,NAN,RUE,PIERRE JOSEPH ANTOINE,21000,Maison,336.0,68.0,3
2023,1,2,38,NAN,AV,VICTOR HUGO,21000,Appartement,0.0,99.0,4
2023,1,6,10,NAN,RUE,MERCERET,21121,Appartement,910.0,40.0,2
2023,1,6,10,NAN,RUE,MERCERET,21121,Appartement,910.0,75.0,4
2023,1,16,2,NAN,RUE,DU CHAMP DE MARS,21000,Appartement,0.0,24.0,1
2023,1,16,63,NAN,RUE,DE CHOREY,21200,Appartement,0.0,74.0,3
2023,1,6,2,B,AV,DE LA GARE,21600,Appartement,0.0,89.0,4
2023,1,13,75,NAN,RUE,EN PAILLERY,21850,Appartement,0.0,82.0,4
2023,1,17,19,NAN,RUE,SAMBIN,21000,Appartement,0.0,58.0,3
2023,1,6,28,NAN,RUE,GEN FAUCONNET,21000,Appartement,0.0,65.0,3
2023,1,5,2,NAN,RUE,DE L'AXON,21150,Maison,452.0,95.0,5
2023,1,6,51,NAN,RUE,MONGE,21000,Appartement,0.0,32.0,2
2023,1,5,29,NAN,RTE,DE DIJON,21600,Maison,0.0,41.0,2
2023,1,6,49,B,RTE,DE FONTAINE FRANCAISE,21310,Maison,502.0,76.0,3
2023,1,4,98,NAN,RUE,VANNERIE,21000,Appartement,0.0,15.0,1
2023,1,4,11,NAN,RUE,JACQUES BREL,21800,Appartement,0.0,24.0,1
2023,1,5,40,A,RUE,DE LARREY,21000,Appartement,0.0,27.0,1
2023,1,4,10,NAN,RUE,CLAUDE BASIRE,21000,Appartement,0.0,120.0,4
2023,1,4,4,NAN,RUE,DOC JEAN BAPTISTE MORLOT,21000,Appartement,0.0,23.0,1
2023,1,16,2,NAN,RLE,DE L OUCHOTTE,21410,Maison,77.0,134.0,5
2023,1,11,2,T,ALL,DE CLUNY,21240,Appartement,0.0,64.0,3
2023,1,10,6,NAN,RUE,DE GRENAND,21260,Maison,770.0,84.0,5
2023,1,10,33,NAN,RUE,VERRERIE,21000,Appartement,0.0,45.0,2
2023,1,5,74,NAN,RUE,JEAN JACQUES ROUSSEAU,21000,Appartement,0.0,50.0,2
2023,1,5,41,NAN,RUE,GASTON PARIS,21160,Maison,185.0,82.0,5
2023,1,12,9,NAN,NAN,LA PLACE CENTRALE R REMOND,21800,Appartement,0.0,78.0,4
2023,1,9,72,NAN,RUE,DES MARMUZOTS,21000,Appartement,0.0,55.0,3
2023,1,12,1,A,RUE,DES PLANTES (MONTLIOT),21400,Maison,183.0,150.0,5
2023,1,18,98,NAN,BD,MANSART,21000,Appartement,0.0,55.0,3
2023,1,13,15,NAN,RUE,JEAN JAURES,21120,Maison,203.0,106.0,6
2023,1,13,4,NAN,CHE,CREUX,21120,Maison,1243.0,111.0,5
2023,1,13,4,NAN,CHE,CREUX,21120,Maison,600.0,111.0,5
2023,1,12,45,B,RUE,CHARLES DUMONT,21000,Appartement,0.0,31.0,1
2023,1,13,19,NAN,RUE,JEAN MARTIN,21120,Maison,425.0,90.0,3
2023,1,10,25,NAN,RUE,DE BEZE,21310,Maison,110.0,80.0,2
2023,1,13,28,NAN,RUE,VILLEBOIS MAREUIL,21000,Maison,195.0,72.0,3
2023,1,18,11,NAN,CHE,DE LA VERDE,21410,Maison,964.0,114.0,5
2023,1,16,10,NAN,RUE,DU PUITS CHIROT,21120,Maison,943.0,130.0,4
2023,1,18,3,NAN,IMP,ALEXIS THOMAS,21850,Appartement,0.0,81.0,4
2023,1,16,2,NAN,RUE,NOTRE DAME,21120,Maison,128.0,60.0,3
2023,1,19,51,NAN,RUE,DE MONTCHAPET,21000,Appartement,0.0,59.0,2
