year,month,day,no-voie,b/t/q,type-de-voie,voie,code-postal,type-local,surface-terrain,surface-reelle-bati,nombre-pieces-principales
2023,1,2,19,NAN,RUE,DE PONTIVY,22530,Maison,745.0,80.0,4
2023,1,4,25,NAN,RUE,CAMILLE GUERIN,22000,Appartement,0.0,62.0,3
2023,1,9,7,NAN,RUE,DES CERISIERS,22400,Maison,429.0,84.0,4
2023,1,5,2,NAN,RUE,DU CLOS DES STERNES,22000,Appartement,0.0,56.0,3
2023,1,6,81,NAN,RUE,FRANCOIS JAFFRAIN,22120,Maison,681.0,73.0,5
2023,1,9,22,NAN,RUE,DES MADIERES,22120,Maison,540.0,90.0,4
2023,1,9,425,NAN,NAN,MALAKOFF,22940,Maison,506.0,73.0,4
2023,1,4,5508,NAN,NAN,KERGOUANTON,22660,Maison,4240.0,265.0,3
2023,1,4,5508,NAN,NAN,KERGOUANTON,22660,Maison,11829.0,265.0,3
2023,1,6,18,NAN,RUE,DE GERVILY,22490,Maison,520.0,180.0,8
2023,1,6,18,NAN,RUE,DE GERVILY,22490,Maison,484.0,180.0,8
2023,1,6,7,NAN,NAN,LOT DU BOIS ROLLAND,22490,Maison,535.0,79.0,4
2023,1,9,7,NAN,RTE,DE DINARD,22100,Appartement,0.0,30.0,1
2023,1,10,19,NAN,RUE,DE L OPALE,22940,Maison,403.0,111.0,4
2023,1,5,2,NAN,NAN,KERDUAULT,22450,Maison,183.0,87.0,4
2023,1,5,28,NAN,ALL,DES ROSES,22100,Appartement,0.0,77.0,4
2023,1,9,3,NAN,NAN,BEL AIR,22150,Maison,1251.0,118.0,5
2023,1,9,3,NAN,NAN,BEL AIR,22150,Maison,500.0,118.0,5
2023,1,9,39,NAN,NAN,CARSU,22510,Maison,951.0,106.0,5
2023,1,9,39,NAN,NAN,CARSU,22510,Maison,2381.0,106.0,5
2023,1,9,28,B,NAN,KERIVEN,22530,Maison,484.0,54.0,2
2023,1,9,28,NAN,NAN,KERIVEN,22530,Maison,115.0,25.0,1
2023,1,9,1,NAN,NAN,LA VIETTE,22330,Maison,3099.0,140.0,6
2023,1,9,1,NAN,NAN,LA VIETTE,22330,Maison,540.0,140.0,6
2023,1,9,1,NAN,NAN,LA VIETTE,22330,Maison,741.0,140.0,6
2023,1,9,2,NAN,RTE,DU LONGEAU,22570,Maison,305.0,67.0,3
2023,1,3,55,NAN,RUE,DE ST BARTHELEMY,22440,Maison,1000.0,94.0,3
2023,1,5,1,NAN,NAN,KERABIN BIAN,22110,Maison,247.0,83.0,4
2023,1,5,31,NAN,AV,D ARMORIQUE,22000,Maison,539.0,120.0,5
2023,1,2,24,NAN,RUE,DU 71EME RI,22000,Appartement,0.0,70.0,3
2023,1,4,2,NAN,RUE,SIMONE VEIL,22400,Appartement,149.0,114.0,3
2023,1,10,,NAN,IMP,RUPORZOU,22200,Appartement,370.0,54.0,3
2023,1,10,,NAN,IMP,RUPORZOU,22200,Appartement,370.0,61.0,3
2023,1,10,11,NAN,RUE,GAMBETTA,22970,Appartement,198.0,41.0,1
2023,1,10,11,NAN,RUE,GAMBETTA,22970,Appartement,198.0,17.0,1
2023,1,10,11,NAN,RUE,GAMBETTA,22970,Appartement,198.0,19.0,1
2023,1,10,11,NAN,RUE,GAMBETTA,22970,Appartement,198.0,17.0,1
2023,1,10,11,NAN,RUE,GAMBETTA,22970,Appartement,198.0,19.0,1
2023,1,5,34,NAN,RUE,DU GUIC,22810,Maison,98.0,73.0,4
2023,1,5,32,NAN,NAN,TREGUIHE,22130,Maison,3074.0,79.0,2
2023,1,5,32,NAN,NAN,TREGUIHE,22130,Maison,605.0,79.0,2
2023,1,5,35,NAN,RUE,KER ILIZ,22660,Maison,601.0,52.0,3
2023,1,11,4,NAN,COUR,D EN HAUT,22120,Maison,184.0,51.0,2
2023,1,11,4,NAN,COUR,D EN HAUT,22120,Maison,184.0,12.0,1
2023,1,6,5,NAN,RUE,DES CHAMPS RIVARDS,22100,Maison,478.0,64.0,3
2023,1,6,5,NAN,RUE,DES CHAMPS RIVARDS,22100,Maison,625.0,64.0,3
2023,1,3,32,NAN,RES,LES HAUTS DU DOURDU,22450,Maison,783.0,84.0,3
2023,1,3,5,NAN,RUE,DE LA PAIX,22430,Maison,405.0,68.0,3
2023,1,12,4,NAN,RUE,DE LAN GOC,22740,Maison,215.0,83.0,4
2023,1,13,17,NAN,RUE,DE FONTAINE PIERRE,22740,Maison,861.0,225.0,7
2023,1,9,11,NAN,RUE,DE LA LIBERATION,22980,Maison,947.0,182.0,7
2023,1,9,11,NAN,RUE,DE LA LIBERATION,22980,Maison,500.0,182.0,7
2023,1,10,10,NAN,NAN,LE PORS HIR,22930,Maison,2214.0,136.0,5
2023,1,10,10,NAN,NAN,LE PORS HIR,22930,Maison,266.0,136.0,5
2023,1,6,2,NAN,NAN,KERAMAN,22470,Maison,1613.0,99.0,3
2023,1,6,2,NAN,NAN,KERAMAN,22470,Maison,561.0,99.0,3
2023,1,4,5405,NAN,NAN,LES CINQ CROIX,22170,Maison,798.0,18.0,2
2023,1,6,14,NAN,RUE,TUGDUAL DE KERMOYSAN,22290,Maison,183.0,91.0,4
2023,1,6,14,NAN,RUE,TUGDUAL DE KERMOYSAN,22290,Maison,757.0,91.0,4
2023,1,12,3,NAN,RUE,DES TILLEULS,22510,Maison,440.0,78.0,3
2023,1,5,15,NAN,IMP,DE LA POINTE DES GUETTES,22120,Maison,500.0,117.0,3
2023,1,5,15,NAN,IMP,DE LA POINTE DES GUETTES,22120,Maison,1835.0,117.0,3
2023,1,6,4,NAN,RUE,DE LISBONNE,22000,Appartement,0.0,62.0,3
2023,1,6,12,NAN,BD,DU GEN DE GAULLE,22410,Appartement,0.0,27.0,1
2023,1,5,62,B,RUE,DU LEGUE,22000,Maison,342.0,40.0,3
2023,1,5,22,NAN,RUE,DU BOIS GILBERT,22120,Maison,577.0,97.0,6
2023,1,5,527,NAN,RUE,DE KERNILIEN,22290,Maison,600.0,103.0,6
2023,1,5,527,NAN,RUE,DE KERNILIEN,22290,Maison,703.0,103.0,6
2023,1,6,8,NAN,RUE,DE L AMIRAUTE,22100,Maison,432.0,70.0,3
2023,1,12,5,NAN,IMP,DES ORMES,22650,Maison,1178.0,142.0,5
2023,1,9,69,NAN,GR,GRANDE RUE,22750,Maison,60.0,72.0,5
2023,1,9,35,NAN,RUE,YVES CHARPENTIER,22400,Appartement,207.0,44.0,2
2023,1,9,35,NAN,RUE,YVES CHARPENTIER,22400,Appartement,207.0,50.0,3
2023,1,9,35,NAN,RUE,YVES CHARPENTIER,22400,Appartement,207.0,47.0,3
2023,1,9,35,NAN,RUE,YVES CHARPENTIER,22400,Appartement,207.0,47.0,3
2023,1,9,35,NAN,RUE,YVES CHARPENTIER,22400,Appartement,207.0,53.0,3
2023,1,9,35,NAN,RUE,YVES CHARPENTIER,22400,Appartement,207.0,47.0,3
2023,1,4,6,NAN,NAN,KERHORVOU,22260,Maison,2084.0,122.0,5
2023,1,4,6,NAN,NAN,KERHORVOU,22260,Maison,500.0,122.0,5
2023,1,10,5,NAN,CHE,DES ECOLIERS,22230,Maison,452.0,90.0,4
2023,1,10,5,NAN,CHE,DES ECOLIERS,22230,Maison,452.0,35.0,1
2023,1,9,21,NAN,RUE,DE QUEVEZOU,22500,Maison,591.0,100.0,4
2023,1,5,15,NAN,IMP,DU BOURG,22500,Maison,446.0,82.0,4
2023,1,3,35,NAN,NAN,RES DE LA PEPINIERE,22470,Maison,552.0,95.0,6
2023,1,5,8,NAN,RTE,DE KEROULIC,22860,Maison,290.0,83.0,3
2023,1,12,4,NAN,NAN,LA TOUCHE BAS ARDENNES,22210,Maison,548.0,28.0,1
2023,1,11,19,NAN,RUE,DES AJONCS,22510,Maison,559.0,65.0,3
2023,1,11,6016,NAN,NAN,POUL AR WOUIS,22310,Maison,1101.0,160.0,5
2023,1,16,14,Q,NAN,BEL AIR,22540,Maison,1001.0,145.0,5
2023,1,12,11,NAN,RUE,DU LIORZOU,22260,Maison,257.0,130.0,3
2023,1,12,11,NAN,RUE,DU LIORZOU,22260,Maison,51.0,69.0,3
2023,1,9,36,NAN,BD,DE LA VIEUXVILLE,22380,Appartement,0.0,24.0,1
2023,1,5,3,NAN,IMP,DES LANDES CAUGAN,22120,Maison,486.0,97.0,5
2023,1,5,5,NAN,RUE,DES ECOLES,22000,Maison,307.0,50.0,2
2023,1,5,5365,NAN,NAN,KERVERN,22140,Maison,755.0,120.0,4
2023,1,13,2,NAN,NAN,POUL BARA GUEN,22450,Maison,230.0,100.0,3
2023,1,13,2,B,RUE,ANATOLE LE BRAZ,22190,Maison,628.0,149.0,7
2023,1,5,14,NAN,RUE,ANTONIO VIVALDI,22440,Maison,537.0,110.0,4
2023,1,3,4,NAN,PL,DE LA MAIRIE,22130,Appartement,210.0,66.0,3
2023,1,3,4,NAN,PL,DE LA MAIRIE,22130,Appartement,210.0,26.0,1
2023,1,3,4,NAN,PL,DE LA MAIRIE,22130,Appartement,210.0,44.0,2
2023,1,3,4,NAN,PL,DE LA MAIRIE,22130,Maison,210.0,110.0,5
2023,1,13,11,NAN,RUE,PRAT MIN,22820,Maison,307.0,157.0,5
2023,1,13,11,NAN,RUE,PRAT MIN,22820,Maison,4166.0,157.0,5
2023,1,13,3,NAN,ALL,DES TERRES NOIRES,22190,Maison,193.0,71.0,3
2023,1,12,15,NAN,RUE,BRIZEUX,22000,Appartement,0.0,48.0,2
2023,1,13,86,NAN,AV,GEN DE GAULLE,22190,Maison,380.0,63.0,4
2023,1,10,3,NAN,NAN,KEROTER,22540,Maison,1080.0,90.0,4
2023,1,10,3,NAN,NAN,KEROTER,22540,Maison,3224.0,90.0,4
2023,1,5,40,NAN,RUE,DU CLOS MARECHAL,22170,Maison,412.0,86.0,5
2023,1,12,42,NAN,LOT,DE LA VILLE ACINET,22350,Maison,353.0,94.0,5
2023,1,9,4,NAN,NAN,LE TERTRE,22240,Maison,402.0,57.0,4
2023,1,12,7,NAN,RUE,KITCHENER,22100,Appartement,0.0,69.0,4
2023,1,3,1,NAN,RUE,DE PLOUEGAT GUERRAND,22310,Maison,595.0,92.0,3
2023,1,11,18,NAN,NAN,BOLOY,22740,Maison,1000.0,190.0,4
2023,1,11,18,NAN,NAN,BOLOY,22740,Maison,2677.0,190.0,4
2023,1,9,6,NAN,IMP,DU PUITS,22620,Maison,32.0,52.0,1
2023,1,12,51,NAN,RUE,PROFESSEUR J RENAUD,22500,Maison,520.0,130.0,4
2023,1,3,6,NAN,VEN,DU FAODEL,22480,Maison,174.0,70.0,1
2023,1,7,7,NAN,NAN,PARC MEUR,22290,Maison,932.0,98.0,4
2023,1,5,28,NAN,RUE,DU CHANOINE LE TEXIER,22230,Maison,263.0,128.0,5
2023,1,11,36,NAN,BD,DE LA VIEUXVILLE,22380,Appartement,0.0,35.0,1
2023,1,4,7,A,RUE,PORZOU,22200,Maison,44.0,42.0,2
2023,1,12,34,B,RUE,CHATEAUBRIAND,22000,Appartement,0.0,20.0,1
2023,1,9,13,NAN,RES,DE COATILLIAU,22300,Maison,686.0,108.0,6
2023,1,12,38,NAN,RUE,DE LA CHAPELLE,22300,Maison,115.0,151.0,5
2023,1,12,38,NAN,RUE,DE LA CHAPELLE,22300,Maison,1178.0,151.0,5
2023,1,6,5847,F,RUE,DU 8 MAI 1945,22550,Maison,461.0,120.0,4
2023,1,10,28,NAN,NAN,LA QUINARDAIS,22100,Maison,68.0,50.0,3
2023,1,5,9004,NAN,RUE,DES PRES MORIN,22150,Maison,988.0,123.0,5
2023,1,13,9,NAN,ALL,DE LA BARBE BRULEE,22410,Appartement,0.0,63.0,3
2023,1,13,2,NAN,RTE,DE LOPERARE,22110,Maison,163.0,89.0,3
2023,1,9,9003,NAN,VEN,DES SPORTS,22150,Maison,94.0,192.0,6
2023,1,16,8,NAN,RUE,DU TERTRE RUAULT,22520,Maison,367.0,56.0,3
2023,1,11,6,NAN,RUE,DE LA CROIX CHOLIN,22440,Maison,622.0,114.0,3
2023,1,16,2,NAN,RUE,MASSIGNON,22000,Appartement,0.0,75.0,4
2023,1,2,610,NAN,NAN,FAUTREL,22630,Maison,154.0,50.0,2
2023,1,10,8,NAN,ALL,DES LUTINS,22950,Maison,496.0,127.0,6
2023,1,13,24,NAN,RUE,DE LA ROCHE COUVERTE,22550,Maison,435.0,88.0,4
2023,1,13,24,NAN,RUE,DE LA ROCHE COUVERTE,22550,Maison,515.0,88.0,4
2023,1,17,8,NAN,CITE,DE LA VILLE REHEN,22550,Maison,792.0,89.0,5
2023,1,11,45,NAN,RUE,GRANDE RUE,22570,Maison,54.0,36.0,2
2023,1,17,15,NAN,NAN,HENT RU GWENN,22140,Maison,500.0,99.0,5
2023,1,17,15,NAN,NAN,HENT RU GWENN,22140,Maison,2413.0,99.0,5
2023,1,10,5226,NAN,NAN,BREIZ IZEL,22140,Maison,1440.0,59.0,3
2023,1,10,5226,NAN,NAN,BREIZ IZEL,22140,Maison,1440.0,134.0,4
2023,1,10,5226,NAN,NAN,BREIZ IZEL,22140,Maison,8705.0,59.0,3
2023,1,10,5226,NAN,NAN,BREIZ IZEL,22140,Maison,8705.0,134.0,4
2023,1,5,20,NAN,RUE,DU GOELO,22290,Maison,225.0,90.0,4
2023,1,12,17,NAN,RUE,DES COTRELLES,22440,Maison,663.0,82.0,3
2023,1,10,6962,NAN,NAN,GOAZOURES,22300,Maison,434.0,125.0,5
2023,1,10,6962,NAN,NAN,GOAZOURES,22300,Maison,1826.0,125.0,5
2023,1,11,12,NAN,RUE,JOLIOT CURIE,22360,Maison,142.0,90.0,4
