year,month,day,no-voie,b/t/q,type-de-voie,voie,code-postal,type-local,surface-terrain,surface-reelle-bati,nombre-pieces-principales
2023,1,3,2,NAN,RUE,DE LA LOGGIA,20169,Appartement,0.0,36.0,2
2023,1,3,2,NAN,RUE,DE LA LOGGIA,20169,Appartement,0.0,36.0,3
2023,1,9,28,NAN,RUE,DU 9 SEPTEMBRE,20110,Appartement,0.0,82.0,3
2023,1,5,5999,NAN,NAN,VIVA,20166,Appartement,0.0,45.0,2
2023,1,3,9001,NAN,RES,EMPIRE FINOSELLO,20090,Appartement,0.0,87.0,4
2023,1,5,5246,A,NAN,CASTIGLIONE,20166,Maison,0.0,86.0,5
2023,1,3,9621,NAN,NAN,MASCARDACCIA,20129,Appartement,0.0,76.0,3
2023,1,5,9001,NAN,RES,DOMAINE DU SCUDO MYRTHIA,20000,Appartement,0.0,35.0,2
2023,1,4,15,NAN,MTE,DE LA PARATELLA,20110,Appartement,0.0,22.0,1
2023,1,12,7,NAN,MTE,DE LA PARATELLA,20110,Appartement,0.0,50.0,2
2023,1,5,9009,NAN,NAN,QRT OLIVETO,20000,Appartement,0.0,79.0,3
2023,1,3,5170,C,NAN,TEMULI,20118,Maison,2067.0,72.0,3
2023,1,9,3,NAN,RUE,BONAPARTE,20000,Appartement,0.0,76.0,3
2023,1,9,9002,NAN,AV,DE VERDUN,20000,Appartement,0.0,112.0,4
2023,1,10,9004,NAN,RTE,VITTULO-PARC ST LUCIE,20000,Appartement,0.0,90.0,5
2023,1,12,1,NAN,RUE,LOUIS FREDIANI,20000,Appartement,0.0,50.0,3
2023,1,10,28,NAN,NAN,PARC BERTHAULT FAGNI,20000,Appartement,0.0,66.0,2
2023,1,17,101,NAN,NAN,SOLENZARA,20145,Appartement,0.0,56.0,3
2023,1,10,9027,NAN,NAN,ACQUALONGA,20167,Appartement,0.0,149.0,4
2023,1,9,9001,NAN,RES,DES FLEURS,20090,Appartement,0.0,95.0,4
2023,1,16,66,NAN,CRS,NAPOLEON,20000,Appartement,0.0,100.0,5
2023,1,16,5381,NAN,NAN,POLISCONO,20140,Maison,2750.0,71.0,3
2023,1,16,5381,NAN,NAN,POLISCONO,20140,Maison,1000.0,71.0,3
2023,1,16,109,NAN,CRS,NAPOLEON,20090,Appartement,0.0,90.0,4
2023,1,16,9001,NAN,RES,DES ILES LE CRETE I,20000,Appartement,0.0,61.0,2
2023,1,11,6485,NAN,RTE,D ARCA,20137,Appartement,0.0,51.0,2
2023,1,9,6485,NAN,RTE,D ARCA,20137,Appartement,0.0,54.0,2
2023,1,9,6485,NAN,RTE,D ARCA,20137,Appartement,0.0,50.0,2
2023,1,13,64,NAN,CRS,NAPOLEON,20000,Appartement,0.0,115.0,5
2023,1,13,9008,NAN,NAN,LDT PIETRAGGIONE,20137,Maison,0.0,48.0,2
