year,month,day,no-voie,b/t/q,type-de-voie,voie,code-postal,type-local,surface-terrain,surface-reelle-bati,nombre-pieces-principales
2023,1,3,46,NAN,AV,CHARLES DE GAULLE,8090,Maison,763.0,70.0,4
2023,1,3,5,NAN,RLE,RAULIN,8150,Maison,390.0,136.0,6
2023,1,3,3,NAN,RUE,DE LA PAIX,8000,Appartement,0.0,53.0,2
2023,1,3,14,NAN,PL,DUCALE,8000,Appartement,0.0,53.0,2
2023,1,3,14,NAN,PL,DUCALE,8000,Appartement,0.0,51.0,2
2023,1,3,14,NAN,PL,DUCALE,8000,Appartement,0.0,46.0,2
2023,1,6,9,NAN,RUE,DE NOUZONVILLE,8000,Appartement,0.0,73.0,3
2023,1,4,8,NAN,RUE,VICTOR HUGO,8000,Appartement,0.0,46.0,2
2023,1,5,5293,NAN,NAN,LES GRANDES AISANCES,8370,Maison,405.0,82.0,4
2023,1,2,9,NAN,RUE,DES COUTURES,8220,Maison,500.0,76.0,3
2023,1,2,9,NAN,RUE,DES COUTURES,8220,Maison,15000.0,76.0,3
2023,1,2,9,NAN,RUE,DES COUTURES,8220,Maison,20403.0,76.0,3
2023,1,9,133,NAN,BD,GAMBETTA,8000,Appartement,0.0,52.0,2
2023,1,6,38,NAN,RUE,GASTON BARRE,8320,Maison,175.0,82.0,5
2023,1,6,38,NAN,RUE,GASTON BARRE,8320,Maison,1102.0,82.0,5
2023,1,9,53,NAN,RUE,DES MOUCHETS,8140,Maison,155.0,145.0,5
2023,1,9,4,NAN,NAN,LE GUE SAINT JEAN,8300,Maison,954.0,141.0,4
2023,1,5,50,NAN,RTE,DE PRIX,8000,Maison,628.0,97.0,4
2023,1,6,5017,NAN,RUE,DES AISANCES,8450,Maison,230.0,210.0,4
2023,1,3,5,NAN,RUE,JULES VERNE,8000,Appartement,0.0,98.0,4
2023,1,5,12,NAN,RUE,ETIENNE DOLET,8120,Maison,27.0,60.0,3
2023,1,5,10,NAN,RUE,ETIENNE DOLET,8120,Maison,34.0,32.0,1
2023,1,10,20,NAN,RUE,HENRI BARBUSSE,8160,Maison,252.0,163.0,6
2023,1,13,75,NAN,AV,PASTEUR,8300,Maison,853.0,45.0,3
2023,1,11,5034,NAN,NAN,LE BELAIN,8190,Maison,655.0,110.0,4
2023,1,9,32,B,RUE,DES WAQUIGNONS,8700,Maison,646.0,71.0,4
2023,1,5,7,NAN,RUE,DU BAN SAINT PIERRE,8270,Maison,240.0,108.0,5
2023,1,10,10,NAN,RUE,LA PETITE LOUVIERE,8000,Maison,554.0,114.0,5
2023,1,5,16,NAN,PL,DE LA PREFECTURE,8000,Appartement,0.0,28.0,1
2023,1,11,5152,NAN,NAN,LE PRESBYTERE,8290,Maison,352.0,82.0,4
2023,1,6,22,NAN,RUE,DU PRESIDENT KENNEDY,8000,Appartement,0.0,21.0,1
2023,1,11,15,NAN,AV,DE MONTCY NOTRE DAME,8000,Maison,306.0,90.0,5
2023,1,13,24,NAN,AV,DE SAINT JULIEN,8000,Maison,190.0,120.0,5
2023,1,10,1,B,CHE,SOUS LES ROCHES,8000,Appartement,0.0,87.0,4
2023,1,11,7,NAN,RUE,DE LA BARRE,8360,Maison,599.0,98.0,5
2023,1,6,56,NAN,RUE,VICTOR HUGO,8000,Appartement,161.0,41.0,2
2023,1,6,56,NAN,RUE,VICTOR HUGO,8000,Appartement,161.0,52.0,2
2023,1,6,56,NAN,RUE,VICTOR HUGO,8000,Appartement,161.0,50.0,3
2023,1,16,23,NAN,RUE,DE LA QUEUE DES PRES,8120,Maison,224.0,117.0,4
2023,1,3,1,NAN,RUE,HENRI GUILLEMIN,8300,Appartement,132.0,56.0,2
2023,1,3,1,NAN,RUE,HENRI GUILLEMIN,8300,Appartement,132.0,40.0,2
2023,1,18,12,NAN,AV,LEON CHARPENTIER,8200,Appartement,270.0,94.0,3
2023,1,18,12,NAN,AV,LEON CHARPENTIER,8200,Appartement,270.0,120.0,5
2023,1,9,14,NAN,RUE,D'AZY,8270,Maison,180.0,48.0,2
2023,1,4,11,NAN,RUE,LA GARE,8270,Maison,500.0,49.0,3
2023,1,4,11,NAN,RUE,LA GARE,8270,Maison,478.0,49.0,3
2023,1,16,26,NAN,AV,JEAN JAURES,8000,Appartement,0.0,70.0,3
2023,1,17,34,NAN,RUE,DE L EGALITE,8200,Maison,78.0,89.0,3
2023,1,4,5,NAN,NAN,LE CHATELET HAUT,8150,Maison,503.0,60.0,2
2023,1,6,1,NAN,RUE,DE MARIEMBOURG,8270,Maison,209.0,37.0,1
2023,1,6,10,NAN,RUE,DE BRUNSWICK,8270,Maison,87.0,42.0,1
2023,1,16,10,NAN,RUE,DU CHEMIN VERT,8000,Maison,636.0,73.0,5
2023,1,16,22,NAN,RUE,HIPPOLYTE TAINE,8000,Appartement,0.0,53.0,3
2023,1,6,15,NAN,RUE,DE L AGRICULTURE,8300,Maison,362.0,87.0,4
2023,1,16,420,NAN,AV,JEAN JAURES,8170,Maison,61.0,86.0,6
2023,1,16,37,NAN,RUE,DU BOIS FORTANT,8000,Maison,162.0,75.0,3
2023,1,6,44,NAN,RUE,CHANZY,8400,Appartement,671.0,140.0,4
2023,1,6,1,NAN,RUE,DES PRES,8500,Maison,231.0,72.0,4
2023,1,3,2,NAN,RUE,FRANCOIS DESPORTES,8250,Maison,400.0,120.0,5
2023,1,5,5,NAN,RUE,DE BON SECOURS,8600,Maison,581.0,68.0,2
2023,1,6,10,NAN,RUE,NEUVE,8400,Maison,163.0,56.0,3
2023,1,16,4,NAN,RTE,DE CHARLEVILLE,8260,Maison,253.0,177.0,7
2023,1,13,7,NAN,RUE,DE LA SCIERIE,8260,Maison,74.0,44.0,2
2023,1,6,5076,NAN,NAN,LE VILLAGE,8220,Maison,517.0,96.0,3
2023,1,5,64,NAN,RUE,CHARLES DE GAULLE,8200,Maison,196.0,64.0,4
2023,1,18,5145,NAN,RUE,DU VIEUX TEMPLE,8450,Maison,50.0,119.0,5
2023,1,3,6,NAN,RUE,DU GEN LONGUET,8130,Maison,710.0,50.0,3
2023,1,6,2,NAN,RUE,JEAN BONNAIRE,8220,Maison,800.0,183.0,7
2023,1,6,2,NAN,RUE,JEAN BONNAIRE,8220,Maison,1832.0,183.0,7
2023,1,18,11,NAN,RUE,DES JARDINS,8090,Maison,780.0,145.0,4
2023,1,16,14,NAN,NAN,LOT LE SOLEIL,8700,Maison,663.0,98.0,5
2023,1,16,40,NAN,RUE,DE PRUM,8800,Maison,240.0,88.0,5
2023,1,19,5,NAN,RUE,DE L EGALITE,8320,Maison,40.0,53.0,4
2023,1,13,28,NAN,RUE,DU MOULIN DES ISLES,8300,Maison,211.0,40.0,2
2023,1,19,11,NAN,RUE,EMILE MABILLE,8090,Maison,90.0,86.0,4
2023,1,17,80,NAN,RUE,AMBROISE CROIZAT,8700,Maison,179.0,100.0,5
2023,1,18,77,NAN,AV,CHARLES DE GAULLE,8090,Maison,335.0,70.0,5
2023,1,16,83,NAN,BD,GAMBETTA,8000,Appartement,0.0,90.0,4
2023,1,20,16,NAN,RUE,SAINT LOUIS,8000,Appartement,140.0,40.0,2
2023,1,20,16,NAN,RUE,SAINT LOUIS,8000,Appartement,140.0,40.0,2
2023,1,20,16,NAN,RUE,SAINT LOUIS,8000,Appartement,140.0,37.0,2
2023,1,11,78,NAN,RUE,DES TROIS CHATEAUX,8300,Maison,703.0,140.0,7
2023,1,10,41,NAN,RUE,DE BELLEVILLE,8400,Maison,507.0,57.0,2
2023,1,16,27,NAN,RUE,PRINCIPALE,8370,Maison,205.0,75.0,3
2023,1,6,13,NAN,RUE,DE LA LIBERTE,8110,Maison,723.0,109.0,4
