year,month,day,no-voie,b/t/q,type-de-voie,voie,code-postal,type-local,surface-terrain,surface-reelle-bati,nombre-pieces-principales
2023,1,3,103,NAN,RUE,OCTAVE MIRBEAU,14710,Appartement,571.0,50.0,2
2023,1,3,8,NAN,RUE,DE LA MULOISIERE,14570,Maison,123.0,60.0,2
2023,1,6,17,NAN,RUE,ECUYERE,14000,Appartement,0.0,90.0,4
2023,1,4,3,NAN,RUE,DES GENS D ARMES,14000,Appartement,0.0,76.0,4
2023,1,4,2,NAN,RUE,DES VILLAS,14800,Appartement,0.0,85.0,3
2023,1,5,10,NAN,BD,CHURCHILL,14170,Maison,491.0,90.0,5
2023,1,6,100,NAN,RUE,D ORLEANS,14000,Appartement,0.0,66.0,4
2023,1,4,2,NAN,ALL,DE LA GLACIERE,14200,Appartement,0.0,45.0,2
2023,1,6,18,NAN,RUE,DE LA PAIX,14850,Maison,755.0,100.0,6
2023,1,6,9,NAN,RUE,DE LA FORGE,14400,Maison,901.0,74.0,3
2023,1,5,5,NAN,RUE,MICHEL LEFOURNIER,14520,Maison,106.0,77.0,5
2023,1,9,34,NAN,RUE,DE VERDUN,14640,Maison,155.0,190.0,7
2023,1,9,34,NAN,RUE,DE VERDUN,14640,Maison,2259.0,190.0,7
2023,1,4,28,NAN,RUE,DES IMPRESSIONNISTES,14400,Maison,346.0,110.0,4
2023,1,9,6,NAN,RUE,DES CANADIENS,14290,Maison,72.0,62.0,3
2023,1,3,36,NAN,AV,DU SIX JUIN,14150,Appartement,0.0,48.0,2
2023,1,5,12,NAN,RUE,AUBER,14150,Maison,250.0,82.0,3
2023,1,10,3,NAN,RUE,MICHEL JEAN,14220,Maison,86.0,100.0,5
2023,1,6,2258,NAN,RTE,DE LA MAIRIE,14430,Maison,1000.0,103.0,4
2023,1,6,2258,NAN,RTE,DE LA MAIRIE,14430,Maison,1556.0,103.0,4
2023,1,2,5,NAN,RUE,DU ROI ARTHUS,14000,Appartement,0.0,88.0,5
2023,1,4,40,NAN,RUE,DU CLOS HERBERT,14000,Appartement,0.0,84.0,4
2023,1,5,32,NAN,BD,DE FRANCE,14150,Maison,403.0,71.0,3
2023,1,6,6,NAN,RUE,DE LINGEVRES,14250,Maison,200.0,77.0,5
