year,month,day,no-voie,b/t/q,type-de-voie,voie,code-postal,type-local,surface-terrain,surface-reelle-bati,nombre-pieces-principales
2023,1,3,75,NAN,RUE,DES PLANTES,44230,Maison,448.0,71.0,4
2023,1,3,4,NAN,RUE,DE JEMMAPES,44000,Appartement,0.0,48.0,2
2023,1,3,3,NAN,RUE,DE POLYMNIE,44230,Appartement,0.0,71.0,3
2023,1,4,1,NAN,RUE,DES STOCKS,44000,Appartement,0.0,48.0,2
2023,1,4,3,NAN,RUE,DES GRANDS PRES,44119,Maison,646.0,92.0,4
2023,1,6,42,NAN,RUE,SAINT VICTORIEN,44110,Maison,419.0,85.0,4
2023,1,3,2,NAN,RUE,DU PERRAY,44300,Appartement,0.0,76.0,4
2023,1,4,45,NAN,BD,MEUSNIER DE QUERLON,44000,Appartement,0.0,40.0,1
2023,1,3,15,NAN,RUE,DE NANTES,44470,Appartement,0.0,70.0,3
2023,1,4,16,NAN,RUE,D AGEN,44800,Appartement,0.0,73.0,4
2023,1,6,4,NAN,RUE,DES PETITES ECURIES,44000,Appartement,0.0,23.0,1
2023,1,9,29,NAN,RUE,DES CHALATRES,44000,Appartement,0.0,40.0,2
2023,1,6,8,NAN,RUE,DU PETIT LEARD,44400,Appartement,0.0,67.0,3
2023,1,6,6349,NAN,NAN,CARDUNEL,44170,Maison,940.0,100.0,3
2023,1,5,128,B,BD,DES BELGES,44300,Appartement,0.0,30.0,2
2023,1,10,101,NAN,RUE,DE LA BOSSELLE,44240,Appartement,0.0,63.0,3
2023,1,5,8,NAN,PL,FRANCOIS II,44200,Appartement,0.0,18.0,1
2023,1,2,8,NAN,RUE,DES SEPT MAIRES CHARETTE,44100,Appartement,0.0,56.0,3
2023,1,3,2,NAN,RUE,DE LA GRANDE BRETAGNE,44300,Appartement,0.0,20.0,1
2023,1,6,17,NAN,RUE,CHARLES MONSELET,44000,Appartement,0.0,60.0,2
2023,1,5,10,NAN,RUE,DU SAULE BLANC,44470,Appartement,0.0,38.0,1
2023,1,5,11,NAN,RUE,DE VERDUN,44310,Appartement,0.0,50.0,3
2023,1,6,15,NAN,ALL,JEAN ROSTAND,44470,Appartement,0.0,65.0,3
2023,1,5,8,NAN,RUE,FRANCIS MERLANT,44000,Appartement,0.0,137.0,5
2023,1,4,2,NAN,RUE,DE LA GRANDE BRETAGNE,44300,Appartement,0.0,20.0,1
2023,1,4,4,NAN,AV,DE NEUILLY,44800,Maison,276.0,70.0,3
2023,1,3,60,NAN,BD,PASTEUR,44980,Maison,1382.0,259.0,10
